PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Alvin Kamara (NO),RB,107,7.13,77.57,187,12.47,15,377.8,25.2
Dalvin Cook (MIN),RB,54,3.86,81.48,312,22.29,14,337.8,24.1
Derrick Henry (TEN),RB,31,1.94,61.29,378,23.62,16,333.1,20.8
David Montgomery (CHI),RB,68,4.53,79.41,247,16.47,15,264.8,17.7
Aaron Jones (GB),RB,63,4.5,74.6,201,14.36,14,258.9,18.5
Jonathan Taylor (IND),RB,40,2.67,90.0,232,15.47,15,252.8,16.9
James Robinson (JAC),RB,60,4.29,81.67,240,17.14,14,250.4,17.9
Josh Jacobs (LV),RB,45,3.0,73.33,273,18.2,15,231.3,15.4
Ezekiel Elliott (DAL),RB,71,4.73,73.24,244,16.27,15,223.7,14.9
Kareem Hunt (CLE),RB,51,3.19,74.51,198,12.38,16,218.5,13.7
Nick Chubb (CLE),RB,18,1.5,88.89,190,15.83,12,207.7,17.3
Mike Davis (ATL),RB,70,4.67,84.29,165,11.0,15,206.5,13.8
Antonio Gibson (WAS),RB,44,3.14,81.82,170,12.14,14,202.2,14.4
Melvin Gordon III (DEN),RB,44,2.93,72.73,215,14.33,15,198.4,13.2
Nyheim Hines (IND),RB,76,4.75,82.89,89,5.56,16,193.2,12.1
Kenyan Drake (LV),RB,31,2.07,80.65,239,15.93,15,192.2,12.8
J.D. McKissic (WAS),RB,110,6.88,72.73,85,5.31,16,191.4,12.0
D'Andre Swift (DET),RB,57,4.38,80.7,114,8.77,13,189.8,14.6
Chris Carson (SEA),RB,46,3.83,80.43,141,11.75,12,187.8,15.7
Ronald Jones II (TB),RB,42,3.0,66.67,192,13.71,14,186.3,13.3
David Johnson (HOU),RB,46,3.83,71.74,147,12.25,12,179.5,15.0
Clyde Edwards-Helaire (KC),RB,54,4.15,66.67,181,13.92,13,176.0,13.5
Miles Sanders (PHI),RB,52,4.33,53.85,164,13.67,12,170.4,14.2
J.K. Dobbins (BAL),RB,24,1.6,75.0,134,8.93,15,168.5,11.2
Chase Edmonds (ARI),RB,67,4.19,79.1,97,6.06,16,168.0,10.5
Austin Ekeler (LAC),RB,65,6.5,83.08,116,11.6,10,165.3,16.5
James Conner (ARI),RB,43,3.31,81.4,169,13.0,13,164.6,12.7
Myles Gaskin (MIA),RB,47,4.7,87.23,142,14.2,10,164.2,16.4
Todd Gurley II (FA),RB,35,2.33,71.43,195,13.0,15,163.2,10.9
Giovani Bernard (TB),RB,59,3.69,79.66,124,7.75,16,158.1,9.9
Devin Singletary (BUF),RB,50,3.12,76.0,156,9.75,16,143.6,9.0
Jeff Wilson Jr. (SF),RB,28,2.33,46.43,126,10.5,12,142.3,11.9
Wayne Gallman Jr. (MIN),RB,27,1.8,77.78,147,9.8,15,136.6,9.1
Latavius Murray (BAL),RB,26,1.73,88.46,146,9.73,15,136.2,9.1
Leonard Fournette (TB),RB,47,3.62,76.6,97,7.46,13,132.0,10.2
Darrell Henderson Jr. (LAR),RB,24,1.6,66.67,138,9.2,15,130.3,8.7
Gus Edwards (BAL),RB,13,0.81,69.23,144,9.0,16,128.2,8.0
Jamaal Williams (DET),RB,35,2.5,88.57,119,8.5,14,127.1,9.1
Jerick McKinnon (KC),RB,46,2.88,71.74,81,5.06,16,126.2,7.9
Adrian Peterson (SEA),RB,18,1.12,66.67,156,9.75,16,124.5,7.8
Tony Pollard (DAL),RB,40,2.5,70.0,101,6.31,16,120.8,7.6
James White (NE),RB,62,4.43,79.03,35,2.5,14,116.6,8.3
Malcolm Brown (MIA),RB,33,2.06,69.7,101,6.31,16,109.1,6.8
Rex Burkhead (HOU),RB,33,3.3,75.76,67,6.7,10,107.6,10.8
Cam Akers (LAR),RB,14,1.17,78.57,145,12.08,12,101.8,8.5
Zack Moss (BUF),RB,18,1.38,77.78,112,8.62,13,101.6,7.8
Frank Gore (FA),RB,19,1.27,84.21,187,12.47,15,100.2,6.7
Raheem Mostert (SF),RB,19,2.38,84.21,104,13.0,8,99.7,12.5
Joe Mixon (CIN),RB,26,4.33,80.77,119,19.83,6,99.6,16.6
Boston Scott (PHI),RB,36,2.25,69.44,80,5.0,16,95.6,6.0
Brian Hill (SF),RB,30,1.88,83.33,100,6.25,16,95.4,6.0
Kalen Ballage (PIT),RB,37,3.36,78.38,91,8.27,11,93.9,8.5
Damien Harris (NE),RB,7,0.7,71.43,137,13.7,10,91.3,9.1
Christian McCaffrey (CAR),RB,19,6.33,89.47,59,19.67,3,90.3,30.1
Alexander Mattison (MIN),RB,15,1.15,86.67,96,7.38,13,86.9,6.7
Devontae Booker (NYG),RB,21,1.31,80.95,93,5.81,16,85.7,5.4
Carlos Hyde (JAC),RB,20,2.0,80.0,81,8.1,10,84.9,8.5
Duke Johnson Jr. (MIA),RB,35,3.18,80.0,77,7.0,11,84.4,7.7
Kyle Juszczyk (SF),RB,29,1.81,65.52,17,1.06,16,81.6,5.1
Joshua Kelley (LAC),RB,23,1.64,100.0,111,7.93,14,81.2,5.8
Sony Michel (LAR),RB,9,1.0,77.78,79,8.78,9,75.3,8.4
Benny Snell Jr. (PIT),RB,14,0.88,71.43,111,6.94,16,74.9,4.7
Le'Veon Bell (FA),RB,20,1.82,80.0,82,7.45,11,74.6,6.8
Kerryon Johnson (FA),RB,26,1.62,73.08,52,3.25,16,71.8,4.5
Salvon Ahmed (MIA),RB,14,2.33,78.57,75,12.5,6,69.0,11.5
Phillip Lindsay (MIA),RB,14,1.27,50.0,118,10.73,11,66.0,6.0
Samaje Perine (CIN),RB,12,0.75,91.67,63,3.94,16,65.7,4.1
Justin Jackson (LAC),RB,24,2.67,79.17,59,6.56,9,65.3,7.3
Ty Johnson (NYJ),RB,21,1.62,76.19,54,4.15,13,63.3,4.9
Jordan Wilkins (FA),RB,16,1.07,75.0,84,5.6,15,61.3,4.1
Ito Smith (DAL),RB,26,1.86,65.38,63,4.5,14,57.3,4.1
Dion Lewis (FA),RB,30,1.88,63.33,29,1.81,16,57.2,3.6
DeeJay Dallas (SEA),RB,20,1.67,85.0,34,2.83,12,56.9,4.7
Peyton Barber (LV),RB,7,0.44,57.14,94,5.88,16,55.0,3.4
Darrel Williams (KC),RB,26,1.62,69.23,39,2.44,16,54.5,3.4
Mark Ingram II (NO),RB,8,0.73,75.0,72,6.55,11,52.9,4.8
La'Mical Perine (NYJ),RB,15,1.5,73.33,64,6.4,10,52.5,5.3
Jalen Richard (LV),RB,23,1.77,82.61,22,1.69,13,51.1,3.9
Jeremy McNichols (FA),RB,17,1.06,70.59,47,2.94,16,43.9,2.7
Chris Thompson (FA),RB,23,2.88,86.96,7,0.88,8,42.6,5.3
Matt Breida (BUF),RB,10,0.83,90.0,59,4.92,12,42.0,3.5
Alfred Morris (NYG),RB,4,0.44,75.0,55,6.11,9,40.7,4.5
AJ Dillon (GB),RB,2,0.18,100.0,46,4.18,11,40.3,3.7
Royce Freeman (HOU),RB,13,0.81,92.31,35,2.19,16,37.1,2.3
Josh Adams (NO),RB,8,1.0,75.0,29,3.62,8,36.6,4.6
Rodney Smith (FA),RB,11,1.57,81.82,41,5.86,7,36.5,5.2
Devonta Freeman (BAL),RB,10,2.0,70.0,54,10.8,5,36.0,7.2
Darwin Thompson (KC),RB,11,0.85,63.64,27,2.08,13,33.2,2.6
Travis Homer (SEA),RB,10,1.11,90.0,25,2.78,9,32.8,3.6
JaMycal Hasty (SF),RB,8,1.0,87.5,39,4.88,8,31.1,3.9
Jordan Howard (PHI),RB,1,0.14,100.0,35,5.0,7,30.7,4.4
Ameer Abdullah (CAR),RB,9,0.56,88.89,8,0.5,16,30.0,1.9
Dare Ogunbowale (JAC),RB,20,1.43,50.0,32,2.29,14,29.9,2.1
Alec Ingold (LV),RB,17,1.06,70.59,3,0.19,16,29.4,1.8
LeSean McCoy (FA),RB,19,1.9,78.95,10,1.0,10,28.2,2.8
Tyler Ervin (FA),RB,15,1.88,73.33,13,1.62,8,26.1,3.3
C.J. Ham (MIN),RB,14,0.93,57.14,5,0.33,15,25.5,1.7
Ke'Shawn Vaughn (TB),RB,10,1.0,50.0,26,2.6,10,23.3,2.3
Anthony McFarland Jr. (PIT),RB,10,0.91,60.0,33,3.0,11,22.7,2.1
Patrick Laird (MIA),RB,12,0.75,83.33,13,0.81,16,22.0,1.4
Trayveon Williams (CIN),RB,5,0.5,100.0,26,2.6,10,21.7,2.2
Antonio Williams (NYG),RB,1,1.0,100.0,12,12.0,1,21.3,21.3
Alex Collins (SEA),RB,2,0.67,50.0,18,6.0,3,21.1,7.0
D'Ernest Johnson (CLE),RB,4,0.25,75.0,33,2.06,16,21.0,1.3
Corey Clement (DAL),RB,6,0.4,83.33,21,1.4,15,21.0,1.4
Ryan Nall (CHI),RB,9,0.6,88.89,3,0.2,15,20.7,1.4
Troymaine Pope (FA),RB,10,1.67,80.0,15,2.5,6,19.8,3.3
Keith Smith (ATL),RB,15,0.94,73.33,4,0.25,16,17.6,1.1
Tarik Cohen (CHI),RB,9,3.0,66.67,14,4.67,3,17.5,5.8
Jakob Johnson (NE),RB,9,0.56,88.89,0,0.0,16,17.5,1.1
DeAndre Washington (FA),RB,10,2.5,50.0,31,7.75,4,17.1,4.3
Patrick Ricard (BAL),RB,12,0.8,75.0,1,0.07,15,17.0,1.1
D'Onta Foreman (TEN),RB,1,0.17,100.0,22,3.67,6,17.0,2.8
Reggie Bonnafon (WAS),RB,2,1.0,100.0,12,6.0,2,16.7,8.4
Jaylen Samuels (ARI),RB,14,1.0,64.29,9,0.64,14,16.4,1.2
T.J. Yeldon (FA),RB,4,1.33,25.0,10,3.33,3,16.2,5.4
Darrynton Evans (TEN),RB,4,0.8,50.0,14,2.8,5,16.1,3.2
Ty Montgomery (NO),RB,6,1.0,50.0,19,3.17,6,15.8,2.6
Saquon Barkley (NYG),RB,9,4.5,66.67,19,9.5,2,15.4,7.7
Mike Boone (DEN),RB,2,0.12,100.0,11,0.69,16,14.9,0.9
Devine Ozigbo (NE),RB,9,1.12,100.0,1,0.12,8,13.3,1.7
Justice Hill (BAL),RB,5,0.42,100.0,12,1.0,12,13.0,1.1
C.J. Prosise (FA),RB,5,0.5,100.0,10,1.0,10,12.7,1.3
Tevin Coleman (NYJ),RB,5,0.62,80.0,28,3.5,8,12.7,1.6
J.J. Taylor (NE),RB,2,0.33,50.0,23,3.83,6,12.4,2.1
