PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Christian McCaffrey (CAR),RB,142,8.88,81.69,287,17.94,16,471.2,29.5
Aaron Jones (GB),RB,68,4.25,72.06,236,14.75,16,314.8,19.7
Ezekiel Elliott (DAL),RB,71,4.44,76.06,301,18.81,16,311.7,19.5
Austin Ekeler (LAC),RB,108,6.75,85.19,132,8.25,16,309.0,19.3
Derrick Henry (TEN),RB,24,1.6,75.0,303,20.2,15,294.6,19.6
Dalvin Cook (MIN),RB,63,4.5,84.13,250,17.86,14,292.4,20.9
Leonard Fournette (TB),RB,100,6.67,76.0,265,17.67,15,259.4,17.3
Nick Chubb (CLE),RB,49,3.06,73.47,298,18.62,16,255.2,16.0
Alvin Kamara (NO),RB,97,6.93,83.51,171,12.21,14,248.5,17.8
Saquon Barkley (NYG),RB,73,5.62,71.23,217,16.69,13,244.1,18.8
Mark Ingram II (NO),RB,29,1.93,89.66,202,13.47,15,242.5,16.2
Chris Carson (SEA),RB,47,3.13,78.72,278,18.53,15,232.6,15.5
Joe Mixon (CIN),RB,45,2.81,77.78,278,17.38,16,225.4,14.1
Todd Gurley II (FA),RB,49,3.27,63.27,223,14.87,15,219.4,14.6
Miles Sanders (PHI),RB,63,3.94,79.37,179,11.19,16,218.7,13.7
Le'Veon Bell (BAL),RB,78,5.2,84.62,245,16.33,15,215.0,14.3
Kenyan Drake (LV),RB,68,4.86,73.53,170,12.14,14,214.2,15.3
James White (NE),RB,95,6.33,75.79,67,4.47,15,200.2,13.3
Phillip Lindsay (HOU),RB,48,3.0,72.92,224,14.0,16,197.7,12.4
Devonta Freeman (BAL),RB,70,5.0,84.29,184,13.14,14,197.6,14.1
Josh Jacobs (LV),RB,27,2.08,74.07,242,18.62,13,191.6,14.7
Marlon Mack (IND),RB,17,1.21,82.35,247,17.64,14,181.3,13.0
Melvin Gordon III (DEN),RB,55,4.58,76.36,162,13.5,12,180.8,15.1
David Montgomery (CHI),RB,35,2.19,71.43,242,15.12,16,170.4,10.7
Ronald Jones II (TB),RB,40,2.5,77.5,172,10.75,16,166.3,10.4
Raheem Mostert (SF),RB,22,1.38,63.64,137,8.56,16,165.2,10.3
Tarik Cohen (CHI),RB,104,6.5,75.96,64,4.0,16,163.9,10.2
Latavius Murray (BAL),RB,43,2.69,79.07,146,9.12,16,157.2,9.8
Duke Johnson Jr. (MIA),RB,62,3.88,70.97,83,5.19,16,154.0,9.6
Carlos Hyde (JAC),RB,16,1.0,62.5,245,15.31,16,153.2,9.6
Sony Michel (LAR),RB,20,1.25,60.0,247,15.44,16,152.6,9.5
Devin Singletary (BUF),RB,41,3.42,70.73,151,12.58,12,147.9,12.3
Adrian Peterson (TEN),RB,23,1.44,73.91,211,13.19,16,147.0,9.2
Jamaal Williams (DET),RB,45,3.21,86.67,107,7.64,14,146.3,10.5
James Conner (ARI),RB,38,3.8,89.47,116,11.6,10,145.5,14.6
Royce Freeman (HOU),RB,50,3.12,86.0,132,8.25,16,142.2,8.9
David Johnson (HOU),RB,47,3.62,76.6,94,7.23,13,141.5,10.9
Damien Williams (CHI),RB,37,3.36,81.08,111,10.09,11,141.1,12.8
Tevin Coleman (NYJ),RB,30,2.14,70.0,137,9.79,14,135.4,9.7
DeAndre Washington (FA),RB,41,2.56,87.8,108,6.75,16,121.9,7.6
LeSean McCoy (FA),RB,34,2.62,82.35,101,7.77,13,118.6,9.1
Nyheim Hines (IND),RB,58,3.62,75.86,52,3.25,16,117.9,7.4
Peyton Barber (LV),RB,24,1.5,66.67,154,9.62,16,116.5,7.3
Jordan Howard (PHI),RB,14,1.4,71.43,119,11.9,10,111.4,11.1
Jaylen Samuels (HOU),RB,57,4.07,82.46,66,4.71,14,105.4,7.5
Matt Breida (BUF),RB,22,1.69,86.36,123,9.46,13,103.3,7.9
Kareem Hunt (CLE),RB,44,4.89,84.09,43,4.78,9,101.4,11.3
Rex Burkhead (HOU),RB,38,2.92,71.05,65,5.0,13,101.1,7.8
Boston Scott (PHI),RB,26,2.36,92.31,61,5.55,11,96.9,8.8
Frank Gore (FA),RB,16,1.0,81.25,166,10.38,16,94.9,5.9
Chris Thompson (FA),RB,58,5.27,72.41,37,3.36,11,93.6,8.5
Gus Edwards (BAL),RB,7,0.44,100.0,133,8.31,16,92.6,5.8
Tony Pollard (DAL),RB,20,1.33,75.0,86,5.73,15,89.2,5.9
Kerryon Johnson (FA),RB,15,1.88,66.67,113,14.12,8,85.0,10.6
J.D. McKissic (WAS),RB,42,2.62,80.95,38,2.38,16,83.8,5.2
Jalen Richard (LV),RB,43,2.69,83.72,39,2.44,16,82.8,5.2
Chase Edmonds (ARI),RB,21,1.62,57.14,60,4.62,13,82.8,6.4
Dare Ogunbowale (JAC),RB,46,2.88,76.09,11,0.69,16,75.3,4.7
Rashaad Penny (SEA),RB,11,1.1,72.73,65,6.5,10,75.3,7.5
Alexander Mattison (MIN),RB,12,0.92,83.33,100,7.69,13,68.4,5.3
Giovani Bernard (TB),RB,43,2.69,69.77,53,3.31,16,68.4,4.3
Patrick Laird (MIA),RB,30,2.0,76.67,62,4.13,15,68.2,4.5
Darrel Williams (KC),RB,20,1.67,75.0,41,3.42,12,67.8,5.7
Brian Hill (CLE),RB,14,1.17,71.43,78,6.5,12,67.2,5.6
Dion Lewis (FA),RB,32,2.0,78.12,54,3.38,16,66.3,4.1
Ty Johnson (NYJ),RB,31,1.94,77.42,63,3.94,16,60.2,3.8
Malcolm Brown (MIA),RB,6,0.43,33.33,69,4.93,14,59.1,4.2
Benny Snell Jr. (PIT),RB,4,0.31,75.0,108,8.31,13,57.9,4.5
Derrius Guice (FA),RB,9,1.8,77.78,42,8.4,5,57.4,11.5
