Date,Team,Acquired,Relinquished,Notes
2017-09-03,Chargers,,• Kaleb Eulls,placed on IR with undisclosed injury
2017-09-03,Chargers,,• Kenneth Farrow,placed on IR with ankle injury
2017-09-03,Chiefs,,• Donald Hawkins,placed on IR with concussion
2017-09-03,Chiefs,,• Jacoby Glenn,placed on IR with undisclosed injury
2017-09-03,Chiefs,,• Steven Nelson,placed on IR with sports hernia
2017-09-03,Colts,,• Josh Ferguson,placed on IR with rib injury
2017-09-03,Colts,,• Tyvis Powell,placed on IR with undisclosed injury
2017-09-03,Dolphins,,• Brandon Watts,placed on IR with back injury
2017-09-03,Eagles,,• Alex McCalister,placed on IR with hamstring injury
2017-09-03,Eagles,,• Tre' Sullivan / Tre Sullivan,placed on IR with undisclosed injury
2017-09-03,Falcons,,• Josh Keyes,placed on IR with undisclosed injury
2017-09-03,Falcons,,• Josh Magee,placed on IR with undisclosed injury
2017-09-03,Falcons,,• Martin Ifedi,placed on IR with ankle injury
2017-09-03,Falcons,,• Matt Simms,placed on IR with undisclosed injury
2017-09-03,Jaguars,,• Doran Grant,placed on IR with head injury
2017-09-03,Jaguars,,• Jarrod Harper,placed on IR with concussion
2017-09-03,Jaguars,,• Marquez Williams,placed on IR with undisclosed injury
2017-09-03,Jaguars,,• Shane Wynn,placed on IR with undisclosed injury
2017-09-03,Jets,,• Lucky Whitehead,placed on IR with fractured foot
2017-09-03,Lions,,• Dez Stewart,placed on IR with undisclosed injury
2017-09-03,Lions,,• Tramain Jacobs,placed on IR with undisclosed injury
2017-09-03,Packers,,• David Talley,placed on IR with undisclosed injury
2017-09-03,Packers,,• Don Barclay,placed on IR with ankle injury
2017-09-03,Packers,,• Joe Kerridge,placed on IR with calf injury
2017-09-03,Panthers,,• Corn Elder,placed on IR with knee injury
2017-09-03,Patriots,,• D.J. Killings,placed on IR with undisclosed injury
2017-09-03,Patriots,,• Devin Lucien,placed on IR with undisclosed injury
2017-09-03,Patriots,,• Josh Augusta,placed on IR with undisclosed injury
2017-09-03,Patriots,,• Woodrow Hamilton IV,placed on IR with leg injury
2017-09-03,Raiders,,• Jaydon Mickens,placed on IR with ankle injury
2017-09-03,Rams,,• Josh Forrest,placed on IR with knee injury
2017-09-03,Rams,,• Kevin Davis,placed on IR with undisclosed injury
2017-09-03,Rams,,• Lenard Tillery,placed on IR with undisclosed injury
2017-09-03,Rams,,• Nelson Spruce,placed on IR with undisclosed injury
2017-09-03,Ravens,,• Brennen Beyer,placed on IR with ankle injury
2017-09-03,Ravens,,• Robertson Daniel,placed on IR with undisclosed injury
2017-09-03,Ravens,,• Stephane Nembot,placed on IR with knee injury
2017-09-03,Redskins,,• Emmanuel Bibbs / E.J. Bibbs,placed on IR with knee injury
2017-09-03,Redskins,,• Levern Jacobs,placed on IR with undisclosed injury
2017-09-03,Redskins,,• Lynden Trail,placed on IR with undisclosed injury
2017-09-03,Redskins,,• Ron Thompson Jr.,placed on IR with undisclosed injury
2017-09-03,Redskins,,• Ronald Patrick,placed on IR with knee injury
2017-09-03,Redskins,,• Su'a Cravens,placed on reserve/non-football injury list with undisclosed injury
2017-09-03,Seahawks,,• Christian French,placed on IR with knee injury
2017-09-03,Seahawks,,• Demetrius McCray,placed on IR with undisclosed injury
2017-09-03,Seahawks,,• Rodney Coe,placed on IR with undisclosed injury
2017-09-03,Seahawks,,• Tyrus Thompson,placed on IR with undisclosed injury
2017-09-03,Steelers,,• Malik Golden,placed on IR with groin injury
2017-09-03,Texans,,• Denzel Rice,placed on IR with ankle injury
2017-09-03,Texans,,• Lonnie Ballentine,placed on IR with knee injury
2017-09-03,Texans,,• Malik Smith,placed on IR with undisclosed injury
2017-09-03,Texans,,• Matthew Godin / Matt Godin,placed on IR with torn ACL in knee
2017-09-03,Texans,,• RaShaun Allen,placed on IR with undisclosed injury
2017-09-03,Texans,,• Wendall Williams (b),placed on IR with collarbone injury
2017-09-03,Titans,,• Akeem Judd,placed on IR with thumb injury
2017-09-03,Titans,,• Harry Douglas,placed on IR with knee injury
2017-09-03,Titans,,• Jimmy Staten,placed on IR with undisclosed injury
2017-09-03,Titans,,• Joe Bacci,placed on IR with undisclosed injury
2017-09-03,Titans,,• Ryan DiSalvo,placed on IR with concussion
2017-09-03,Vikings,,• R.J. Shelton,placed on IR with foot injury
2017-09-03,Vikings,,• Taylor Heinicke,placed on IR with concussion
2017-09-03,Bills,• Sam Barrington,,activated from IR
2017-09-03,Chargers,,• Tyreek Burwell,placed on IR with hand injury
2017-09-03,Texans,,• Cory Carter,placed on IR with hip flexor injury
2017-09-03,Chargers,• Tyreek Burwell,,activated from IR
2017-09-03,Texans,• Cory Carter,,activated from IR
2017-09-04,Bears,,• Deiondre' Hall,placed on IR with hamstring injury
2017-09-04,Bengals,,• Jeff Driskel,placed on IR with 2 fractured fingers
2017-09-04,Broncos,,• Shane Ray,placed on IR with torn ligament in left wirst
2017-09-04,Browns,,• Roderick Johnson,placed on IR with knee injury
2017-09-04,Buccaneers,,• Ryan Griffin (b. 1989-11-17),placed on IR with right shoulder
2017-09-04,Cardinals,,• T.J. Logan,placed on IR with dislocated wrist
2017-09-04,Chargers,,• Denzel Perryman,placed on IR with ankle injury
2017-09-04,Colts,,• Erik Swoope,placed on IR with arthroscopic surgery on knee
2017-09-04,Cowboys,,• Rico Gathers,placed on IR with concussion
2017-09-04,Dolphins,,• Ted Larsen,placed on IR with biceps injury
2017-09-04,Falcons,,• LaRoy Reynolds,placed on IR with pectoral muscle injury
2017-09-04,Jets,,• Lorenzo Mauldin,placed on IR with back injury
2017-09-04,Patriots,,• Shea McClellin,placed on IR with undisclosed injury
2017-09-04,Ravens,,• Maurice Canady,placed on IR with knee injury
2017-09-04,Saints,,• Delvin Breaux,placed on IR with fractured fibula in leg
2017-09-04,Steelers,,• Cameron Sutton / Cam Sutton,placed on IR with hamstring injury
2017-09-04,Vikings,,• Temuchin Hodges / Bucky Hodges,placed on IR with head injury / concussion
2017-09-04,Bears,• Chris Prosinski,,activated from IR
2017-09-04,Browns,• Ed Reynolds II,,activated from IR
2017-09-04,Falcons,• Josh Magee,,activated from IR
2017-09-04,Patriots,• Corey Vereen,,activated from IR
2017-09-04,Patriots,• Woodrow Hamilton IV,,activated from IR
2017-09-04,Raiders,• Jaydon Mickens,,activated from IR
2017-09-04,Rams,• Kevin Davis,,activated from IR
2017-09-04,Rams,• Nelson Spruce,,activated from IR
2017-09-04,Redskins,• Ronald Patrick,,activated from IR
2017-09-04,Seahawks,• Demetrius McCray,,activated from IR
2017-09-04,Titans,• MeKale McKay,,activated from IR
2017-09-04,Raiders,• Jelani Jenkins,,activated from IR
2017-09-05,Bills,,• Taylor Yates / T.J. Yates,placed on IR with concussion
2017-09-05,Raiders,,• Denver Kirkland,placed on IR with leg injury
2017-09-05,Raiders,,• Obi Melifonwu,placed on IR with surgery on knee
2017-09-05,Steelers,,• Jordan Dangerfield,placed on IR with ankle injury
2017-09-05,Falcons,• Matt Simms,,activated from IR
2017-09-05,Giants,• Duke Ihenacho,,activated from IR
2017-09-05,Giants,• Mykkele Thompson,,activated from IR
2017-09-05,Lions,• Tramain Jacobs,,activated from IR
2017-09-05,Redskins,• Levern Jacobs,,activated from IR
2017-09-05,Texans,• Wendall Williams (b),,activated from IR
2017-09-05,Titans,• Jeremy Boykins,,activated from IR
2017-09-06,Buccaneers,,• Marquis Lucas,placed on practice squad IR with undisclosed injury
2017-09-06,Lions,,• Dontez Ford,placed on practice squad IR with undisclosed injury
2017-09-06,Bears,• Lamarr Houston,,activated from IR
2017-09-06,Bills,• Michael Ola,,activated from IR
2017-09-06,Cardinals,• Aaron Dobson,,activated from IR
2017-09-06,Chiefs,• J.R. Nelson,,activated from IR
2017-09-06,Dolphins,• Brandon Watts,,activated from IR
2017-09-06,Patriots,• Devin Lucien,,activated from IR
2017-09-06,Ravens,• Brennen Beyer,,activated from IR
2017-09-07,Patriots,,• Malcolm Mitchell,placed on IR with knee injury
2017-09-07,Panthers,• Zack Sanchez,,activated from IR
2017-09-07,Ravens,• Robertson Daniel,,activated from IR
2017-09-07,Redskins,• Emmanuel Bibbs / E.J. Bibbs,,activated from IR
2017-09-07,Redskins,• Lynden Trail,,activated from IR
2017-09-07,Redskins,• Ron Thompson Jr.,,activated from IR
2017-09-07,Texans,• Malik Smith,,activated from IR
2017-09-07,Texans,• RaShaun Allen,,activated from IR
2017-09-08,Jaguars,,• Dede Westbrook,placed on IR with core muscle injury
2017-09-08,Saints,,• Jon Dorenbos,placed on reserve/non-football injury list recovering from heart surgery to repair aortic aneurysm
2017-09-08,Bears,• Connor Shaw,,activated from IR
2017-09-08,Bears,• Ka'Deem Carey,,activated from IR
2017-09-08,Buccaneers,• Sifo Liufau / Sefo Liufau,,activated from IR
2017-09-08,Colts,• Josh Ferguson,,activated from IR
2017-09-08,Eagles,• Alex McCalister,,activated from IR
2017-09-08,Eagles,• Tre' Sullivan / Tre Sullivan,,activated from IR
2017-09-08,Jaguars,• Jeron Johnson,,activated from IR
2017-09-08,Lions,• Dez Stewart,,activated from IR
2017-09-08,Packers,• Joe Kerridge,,activated from IR
2017-09-08,Panthers,• Gino Gradkowski,,activated from IR
2017-09-08,Patriots,• Josh Augusta,,activated from IR
2017-09-08,Saints,• John Phillips (Matthew),,activated from IR
2017-09-08,Seahawks,• Rodney Coe,,activated from IR
2017-09-08,Steelers,• Jordan Dangerfield,,activated from IR
2017-09-08,Texans,• Denzel Rice,,activated from IR
2017-09-08,Texans,• Lonnie Ballentine,,activated from IR
2017-09-08,Vikings,• Datone Jones,,activated from IR
2017-09-09,Chiefs,,• Eric Berry,placed on IR with torn left Achilles tendon
2017-09-09,Raiders,,• Sebastian Janikowski,placed on IR with back injury
2017-09-09,Chargers,• Joshua Perry / Josh Perry,,activated from IR
2017-09-09,Colts,• Earl Wolff,,activated from IR
2017-09-09,Rams,• Josh Forrest,,activated from IR
2017-09-09,Saints,• Bryan Braman,,activated from IR
2017-09-11,Falcons,• Josh Keyes,,activated from IR
2017-09-11,Jets,• Lucky Whitehead,,activated from IR
2017-09-11,Panthers,• Chris Scott (b),,activated from IR
2017-09-11,Panthers,• James McCray / L.J. McCray,,activated from IR
2017-09-11,Titans,• Jimmy Staten,,activated from IR
2017-09-11,Titans,• Joe Bacci,,activated from IR
2017-09-11,Vikings,• waived,,activated from IR
2017-09-12,Bears,,• Jerrell Freeman,"placed on IR with pectoral muscle injury, concussion"
2017-09-12,Bears,,• Kevin White (Romone),placed on IR with fractured scapula in shoulder
2017-09-12,Cardinals,,• David Johnson (Jerome),placed on IR with wrist injury (surgery)
2017-09-12,Eagles,,• Caleb Sturgis,placed on IR with hip injury
2017-09-12,Jaguars,,• Allen Robinson II,placed on IR with torn ACL in left knee
2017-09-12,Lions,,• Corey Robinson (b),placed on IR with foot injury
2017-09-12,Lions,,• Kasey Redfern,"placed on IR with torn ACL, MCL in right knee"
2017-09-12,Texans,,• C.J. Fiedorowicz,placed on IR with concussion
2017-09-12,Bears,• Rueben Randle,,activated from IR
2017-09-12,Bills,• Taylor Yates / T.J. Yates,,activated from IR
2017-09-12,Browns,• Brandon Wilds,,activated from IR
2017-09-12,Cardinals,• Ed Stinson,,activated from IR
2017-09-12,Colts,• Tyvis Powell,,activated from IR
2017-09-12,Steelers,• Malik Golden,,activated from IR
2017-09-12,Vikings,• Temuchin Hodges / Bucky Hodges,,activated from IR
2017-09-13,Chiefs,,• Joseph Cheek,placed on practice squad IR with undisclosed injury
2017-09-13,Colts,,• Denzelle Good,placed on IR with wrist injury
2017-09-13,Patriots,• D.J. Killings,,activated from IR
2017-09-14,Jaguars,,• Avery Gennesy,placed on practice squad IR with undisclosed injury
2017-09-14,Panthers,,• Cole Luke,placed on IR with ankle injury
2017-09-14,Ravens,,• Danny Woodhead,placed on IR with hamstring injury
2017-09-15,Broncos,,• Jared Crick,placed on IR with back injury (surgery)
2017-09-15,Colts,,• Devin Lucien,placed on practice squad IR with undisclosed injury
2017-09-15,Eagles,,• Donnel Pumphrey / D.J. Pumphrey,placed on IR with hamstring injury
2017-09-16,Ravens,,• Sheldon Price,placed on IR with concussion
2017-09-18,Jaguars,,• Calvin Pryor,placed on IR with ankle injury
2017-09-18,Jets,,• Edmond Robinson,placed on IR with groin injury
2017-09-18,Cardinals,• Alani Fua,,activated from IR
2017-09-18,Jaguars,• Doran Grant,,activated from IR
2017-09-18,Cowboys,,• Damontre Moore,placed on reserve/exempt list
2017-09-19,Browns,,• Corey Coleman,placed on IR with fractured right hand
2017-09-19,Jaguars,,• (Benjamin) Michael Bennett,placed on IR with pectoral muscle injury
2017-09-19,Panthers,,• Greg Olsen,placed on IR with fractured right foot
2017-09-19,Ravens,,• Bam Bradley,placed on IR with torn ACL in knee
2017-09-19,Ravens,,• Marshal Yanda,placed on IR with left ankle injury
2017-09-20,Chargers,,• Chris Hairston,placed on reserve/non-football injury list with blood clots
2017-09-20,Cowboys,• Damontre Moore,,activated from reserve/exempt list
2017-09-20,Saints,,• Mitchell Loewen,placed on IR with ankle injury
2017-09-20,Titans,,• Aaron Wallace (b),placed on IR with back injury
2017-09-21,Packers,,• Jason Spriggs,placed on IR with hamstring injury
2017-09-21,Panthers,,• Keyarris Garrett,placed on practice squad IR with undisclosed injury
2017-09-21,Ravens,,• Jeremy Langford,placed on practice squad IR with undisclosed injury
2017-09-22,Patriots,,• Vincent Valentine,placed on IR with knee injury
2017-09-22,Bengals,• Jake Kumerow,,activated from IR
2017-09-23,Chargers,,• Jason Verrett,placed on IR with left knee injury
2017-09-25,49ers,,• Cornellius Carradine / Tank Carradine,placed on IR with high ankle sprain
2017-09-25,Eagles,,• Darren Sproles,"placed on IR with torn ACL in left knee, fractured right arm"
2017-09-25,Packers,,• Brett Goode,placed on IR with hamstring injury
2017-09-26,Chiefs,,• Cairo Santos,placed on IR with groin injury
2017-09-26,Jaguars,,• Tim Cook,placed on practice squad IR with undisclosed injury
2017-09-26,Lions,,• Joe Dahl,placed on IR with lower leg injury
2017-09-26,Packers,,• Kyle Murphy (Neil),placed on IR with foot injury
2017-09-26,49ers,• B.J. Johnson III,,activated from IR
2017-09-26,Colts,• Tevin Mitchel,,activated from IR
2017-09-26,Packers,• Brett Goode,,activated from IR
2017-09-27,Jets,,• Charone Peake,placed on IR with ankle injury
2017-09-27,Ravens,,• Brent Urban,placed on IR with Lisfranc injury in foot
2017-09-27,Saints,,• David Parry,placed on IR with ankle/leg injury
2017-09-27,Seahawks,,• Dewey McDonald,placed on IR with torn ACL in knee
2017-09-28,Giants,,• J.T. Thomas III,placed on IR with groin injury
2017-09-28,Saints,,• John Kuhn,placed on IR with biceps injury
2017-09-28,Steelers,,• Matt Galambos,placed on practice squad IR with undisclosed injury
2017-09-29,Bears,,• Quintin Demps,placed on IR with fractured left forearm
2017-09-30,Cardinals,,• Mike Iupati,placed on IR with triceps injury
2017-09-30,Lions,,• Zac Kerin,placed on IR with knee injury
2017-09-30,Panthers,,• Jeremy Cash,placed on IR with calf injury
2017-09-30,Chiefs,• Cairo Santos,,activated from IR
2017-09-30,Patriots,• Matt Lengel,,activated from IR
2017-10-02,Cardinals,,• Markus Golden,placed on IR with knee injury
2017-10-02,Seahawks,,• Chris Carson,"placed on IR with fractured leg, high ankle sprain"
2017-10-03,Bills,,• Colt Anderson,placed on IR with forearm injury
2017-10-03,Browns,,• Dominique Alexander,placed on IR with knee injury
2017-10-03,Colts,,• Deyshawn Bond,placed on IR with quadriceps injury
2017-10-03,Colts,,• Marcus Lucas,placed on practice squad IR with undisclosed injury
2017-10-03,Dolphins,,• Eric Smith (Maurice),placed on IR with knee injury
2017-10-03,Falcons,,• Jack Crawford,placed on IR with biceps injury
2017-10-03,Panthers,,• Damiere Byrd,placed on IR with fractured forearm
2017-10-03,Ravens,,• Ricky Ortiz,placed on practice squad IR with undisclosed injury
2017-10-03,Saints,,• Zach Strief,placed on IR with right knee injury
2017-10-03,Colts,• Darryl Morris (a),,activated from IR
2017-10-03,Panthers,• Jeremy Cash,,activated from IR
2017-10-04,Jets,,• Dylan Donahue,placed on IR with elbow injury
2017-10-04,Saints,,• Alex Anzalone,placed on IR with shoulder injury
2017-10-04,Texans,,• Tyler Ervin,placed on IR with knee injury
2017-10-05,Browns,,• Jordan Leslie,placed on IR with hamstring injury
2017-10-05,Cowboys,,• Charles Tapper,placed on IR with fractured right foot
2017-10-05,Vikings,,• Dalvin Cook,placed on IR with torn ACL in left knee
2017-10-06,Panthers,,• Daeshon Hall,placed on IR with knee injury
2017-10-09,Buccaneers,,• Nick Folk,placed on IR with undisclosed injury
2017-10-09,Colts,,• Krishawn Hogan,placed on IR with knee injury
2017-10-09,Giants,,• Dwayne Harris,placed on IR with fractured foot
2017-10-09,Giants,,• Odell Beckham Jr.,placed on IR with fractured left ankle
2017-10-09,Colts,• Chris Culliver,,activated from IR
2017-10-09,Jaguars,• Marquez Williams,,activated from IR
2017-10-10,49ers,,• Asa Jackson,placed on IR with hamstring injury
2017-10-10,Bears,,• Willie Young (James),placed on IR with triceps injury
2017-10-10,Cardinals,,• Aaron Brewer,placed on IR with wrist injury
2017-10-10,Giants,,• Brandon Marshall (Tyrone),placed on IR with surgery on left ankle
2017-10-10,Browns,• Matt McCants,,activated from IR
2017-10-10,Jaguars,• Josh Johnson (Lutrail),,activated from IR
2017-10-10,Titans,• Akeem Judd,,activated from IR
2017-10-11,Falcons,,• Joshua Perkins / Josh Perkins,placed on practice squad IR with undisclosed injury
2017-10-11,Lions,,• Haloti Ngata,placed on IR with biceps injury
2017-10-11,Texans,,• J.J. Watt,placed on IR with fractured tibia in left leg
2017-10-11,Texans,,• Whitney Mercilus,placed on IR with torn pectoral muscle
2017-10-11,Browns,• Jordan Leslie,,activated from IR
2017-10-12,Bengals,,• Tyler Eifert,placed on IR with back injury
2017-10-12,Patriots,,• Cole Toner,placed on practice squad IR with undisclosed injury
2017-10-13,Cowboys,,• Stephen Paea,placed on IR with knee injury
2017-10-14,Chiefs,,• Chris Conley,placed on IR with ruptured left Achilles tendon
2017-10-14,Colts,,• Jack Mewhort,placed on IR with knee injury
2017-10-14,Raiders,,• Antonio Hamilton,placed on IR with knee injury
2017-10-16,Packers,,• Quinten Rollins,placed on IR with Achilles injury
2017-10-17,49ers,,• Arik Armstead,placed on IR with fractured hand
2017-10-17,Broncos,,• Billy Turner,placed on IR with hand injury
2017-10-17,Falcons,,• Trevor Knight,placed on practice squad IR with undisclosed injury
2017-10-17,Giants,,• Romeo Okwara,placed on IR with knee injury
2017-10-17,Redskins,,• Dustin Hopkins,placed on IR with strained muscle in right hip
2017-10-17,Saints,,• Nathan Stupar / Nate Stupar,placed on IR with torn ACL in knee
2017-10-17,Jets,• Anthony Johnson (b. 1993-01-24),,activated from IR
2017-10-18,Giants,,• Michael Hunter,placed on IR with hamstring injury
2017-10-18,Chiefs,• Jacoby Glenn,,activated from IR
2017-10-19,Eagles,,• Chris Maragos,placed on IR with knee injury
2017-10-19,Redskins,,• Jonathan Allen,placed on IR with Lisfranc sprain in left foot
2017-10-19,Ravens,• Sheldon Price,,activated from IR
2017-10-20,Broncos,,• Corey Nelson,placed on IR with elbow injury
2017-10-20,Broncos,,• River Cracraft,placed on practice squad IR with undisclosed injury
2017-10-20,Colts,,• Robert Turbin,placed on IR with elbow injury
2017-10-20,Packers,,• Aaron Rodgers,placed on IR with fractured right collarbone
2017-10-20,Seahawks,,• Cliff Avril,placed on IR with neck injury
2017-10-23,Giants,• Michael Hunter,,activated from IR
2017-10-23,Packers,,• Joe Thomas (Lewis),placed on IR with torn left triceps
2017-10-23,Titans,• Ryan DiSalvo,,activated from IR
2017-10-23,Packers,• Joe Thomas (Lewis),,activated from IR
2017-10-24,Chargers,,• Matt Slauson,placed on IR with biceps injury
2017-10-24,Colts,,• Malik Hooker,"placed on IR with torn ACL, MCL in knee"
2017-10-24,Panthers,,• Demetrious Cox,placed on IR with ankle injury
2017-10-24,Buccaneers,• Jhajuan Seales,,activated from IR
2017-10-24,Packers,• Don Barclay,,activated from IR
2017-10-25,Buccaneers,,• Noah Spence,placed on IR with shoulder injury
2017-10-25,Eagles,,• Jason Peters,"placed on IR with torn ACL, MCL in knee"
2017-10-25,Jets,,• Xavier Coleman,placed on IR with shoulder injury
2017-10-25,Patriots,,• Harvey Langi,placed on reserve/non-football injury list with back injury
2017-10-26,Cardinals,,• Carson Palmer,placed on IR with fractured left arm
2017-10-28,Lions,• Sam Martin,,activated from reserve/non-football injury list
2017-10-28,Redskins,,• Mason Foster,placed on IR with torn labrum in right shoulder
2017-10-30,49ers,,• Garry Gilliam,placed on IR
2017-10-30,Broncos,• Shane Ray,,activated from IR
2017-10-30,Chiefs,• Steven Nelson,,activated from IR
2017-10-30,Lions,,• Tim Lelito,placed on IR with thigh injury
2017-10-31,Dolphins,,• Anthony Steen,placed on IR with left foot injury
2017-10-31,Dolphins,,• Nate Allen (b),placed on IR with calf injury
2017-10-31,Dolphins,• Rashawn Scott,,activated from reserve/physically unable to perform list
2017-10-31,Eagles,,• Achilles tendon injury (out),placed on IR with Achilles tendon injury
2017-10-31,Eagles,,• Jordan Hicks (b. 1992-06-27),placed on IR with ruptured right Achilles tendon
2017-10-31,Falcons,,• Jordan Tripp / Jordie Tripp,placed on IR with concussion
2017-10-31,Falcons,• LaRoy Reynolds,,activated from IR
2017-10-31,Giants,,• Nordly Capi / Cap Capi,placed on IR with hamstring injury
2017-10-31,Jets,,• Jordan Leggett,placed on IR with knee injury
2017-10-31,Texans,,• Christian Covington,placed on IR with torn biceps
2017-10-31,49ers,• Will Redmond,,activated from IR
2017-11-01,49ers,,• Jimmie Ward,placed on IR with fractured forearm
2017-11-01,Redskins,,• Stefan McClure,placed on IR with hamstring injury
2017-11-02,Colts,,• Andrew Luck,placed on IR with right shoulder injury
2017-11-03,Packers,,• Kentrell Brice,placed on IR with ankle injury
2017-11-03,Packers,,• Taybor Pepper,placed on IR with fractured foot
2017-11-03,Packers,• Vince Biegel,,activated from physically unable to perform list
2017-11-03,Rams,,• Cody Davis,placed on IR with thigh injury
2017-11-03,Ravens,• Maurice Canady,,activated from IR
2017-11-03,Redskins,• DeAngelo Hall,,activated from physically unable to perform list
2017-11-03,Texans,,• Deshaun Watson,placed on IR with torn ACL in right knee
2017-11-04,49ers,,• Pierre Garcon,placed on IR with neck injury
2017-11-04,49ers,• Ronald Blair,,activated from IR
2017-11-04,Bills,,• Taiwan Jones (Asti Eric),placed on IR with fractured right arm
2017-11-04,Chiefs,• Tamba Hali,,activated from physically unable to perform list
2017-11-04,Dolphins,• Ted Larsen,,activated from IR
2017-11-04,Giants,,• Weston Richburg,placed on IR with concussion
2017-11-04,Raiders,• Obi Melifonwu,,activated from IR
2017-11-06,49ers,,• Cole Hikutini,placed on IR with knee injury
2017-11-06,49ers,,• Jaquiski Tartt,placed on IR with fractured arm
2017-11-06,Cardinals,,• Daniel Munyer,placed on IR with toe injury
2017-11-06,Raiders,,• Demetrius McCray,placed on IR with knee injury
2017-11-06,Ravens,,• Chris Matthews,placed on IR with thigh injury
2017-11-06,Saints,• Corey Fuller (Alexander),,activated from IR
2017-11-06,Saints,• Martin Wallace,,activated from IR
2017-11-07,49ers,,• Garry Gilliam,placed on IR with knee injury
2017-11-07,Bears,,• Zach Miller (Scott),placed on IR with dislocated left knee
2017-11-07,Buccaneers,• Ryan Griffin (b. 1989-11-17),,activated from IR
2017-11-07,Chargers,• Denzel Perryman,,activated from IR
2017-11-07,Colts,,• Quan Bray,placed on IR with undisclosed injury
2017-11-07,Giants,,• Nigel Harris,placed on IR with rib injury
2017-11-07,Patriots,,• Dont'a Hightower,placed on IR with torn pectoral muscle
2017-11-07,Seahawks,,• Tre Madden,placed on IR with calf injury
2017-11-08,Bengals,,• Jake Fisher,placed on reserve/non-football injury list with irregular heartbeat
2017-11-08,Broncos,,• Menelik Watson,placed on IR with calf/foot injury
2017-11-08,Browns,,• Reggie Porter,placed on IR with Achilles injury
2017-11-08,Cowboys,,• Brian Price (Keith),placed on IR with surgery on knee
2017-11-08,Seahawks,,• Rees Odhiambo,placed on IR with finger injury
2017-11-08,Seahawks,• Dion Jordan,,activated from reserve/non-football injury list
2017-11-08,Vikings,,• Sam Bradford,placed on IR with knee injury
2017-11-08,Vikings,• Teddy Bridgewater,,activated from physically unable to perform list
2017-11-08,Redskins,• Stefan McClure,,activated from IR
2017-11-09,Colts,,• Henry Anderson (a),placed on IR with laryngeal fracture
2017-11-09,Colts,• Denzelle Good,,activated from IR
2017-11-09,Raiders,• Demetrius McCray,,activated from IR
2017-11-10,Browns,,• Ibraheim Campbell,placed on IR with hamstring injury
2017-11-10,Cardinals,,• D.J. Humphries,placed on IR with knee injury
2017-11-10,Cardinals,,• Ifeanyi Momah,placed on IR with fractured ankle/leg
2017-11-10,Cardinals,,• Tyvon Branch,placed on IR with torn ACL in knee
2017-11-10,Texans,,• Ryan Griffin (Francis),placed on IR with concussion
2017-11-10,Texans,• C.J. Fiedorowicz,,activated from IR
2017-11-10,Giants,• Nordly Capi / Cap Capi,,activated from IR
2017-11-11,Bengals,,• Jeremy Hill,placed on IR with ankle injury
2017-11-11,Dolphins,,• Ja'Wuan James,placed on IR with groin / hamstring injury
2017-11-11,Lions,• Corey Robinson (b),,activated from IR
2017-11-11,Lions,• Taylor Decker,,activated from reserve/physically unable to perform list
2017-11-11,Rams,• Lance Dunbar,,activated from physically unable to perform list
2017-11-11,Redskins,,• Arthur Jones,placed on IR with shoulder injury
2017-11-13,49ers,,• John Flynn (b) / J.P. Flynn,placed on practice squad IR with undisclosed injury
2017-11-13,Browns,,• Jamie Collins,placed on IR with torn MCL in right knee
2017-11-13,Jets,,• Ed Stinson,placed on IR with neck injury
2017-11-13,Lions,,• Greg Robinson (b. 1992-10-21),placed on IR with ankle injury
2017-11-13,Raiders,,• Gareon Conley,placed on IR with shin injury
2017-11-14,Colts,• Clayton Geathers,,activated from reserve/physically unable to perform list
2017-11-14,Giants,,• Keenan Robinson,placed on IR with quadriceps injury
2017-11-14,Jaguars,,• Matt Overton,placed on IR with shoulder injury
2017-11-14,Redskins,,• Rob Kelley,"placed on IR with sprained MCL in knee, ankle injury"
2017-11-14,Redskins,,• Will Compton,placed on IR with Lisfranc sprain in foot
2017-11-14,Saints,,• Daniel Lasco,placed on IR with bulging disc in back
2017-11-14,Seahawks,,• Akeem King,placed on practice squad IR with undisclosed injury
2017-11-14,Seahawks,,• C.J. Prosise,placed on IR with ankle injury
2017-11-14,Seahawks,,• Richard Sherman,placed on IR with torn Achilles tendon
2017-11-14,Chiefs,• Donald Hawkins,,activated from IR
2017-11-15,Rams,,• Paul McRoberts,placed on practice squad IR with undisclosed injury
2017-11-16,Browns,• Ibraheim Campbell,,activated from IR
2017-11-16,Redskins,,• T.J. Clemmings,placed on IR with ankle injury
2017-11-16,Giants,• Adam Gettis,,activated from IR
2017-11-16,Giants,• Corbin Bryant,,activated from IR
2017-11-18,Browns,• Corey Coleman,,activated from IR
2017-11-18,Jaguars,,• Arrelious Benn,placed on IR with knee injury
2017-11-18,Jaguars,• Calvin Pryor,,activated from IR
2017-11-18,Jaguars,• Dede Westbrook,,activated from IR
2017-11-18,Packers,,• Bryan Bulaga,placed on IR with torn ACL in knee
2017-11-18,Packers,• Jason Spriggs,,activated from IR
2017-11-18,Ravens,• Danny Woodhead,,activated from IR
2017-11-20,Broncos,,• A.J. Derby,placed on IR with shoulder injury
2017-11-21,Browns,,• Emmanuel Ogbah,placed on IR with fractured right foot
2017-11-21,Browns,,• Jamie Meder,placed on IR with high ankle sprain
2017-11-21,Redskins,,• Chris Thompson (b. 1990-10-20),placed on IR with fractured fibula in right leg
2017-11-21,Redskins,,• Shawn Lauvao,placed on IR with stinger in neck
